Time,abs_diffWaterDepth,diffWaterDepth,Area,Cell Type,BottomElevation,WaterDepth
0,0,0,4.096e+06,1,1.6959e+08,0
100,4004.1,0.034323,4.096e+06,1,1.6959e+08,5634.5
200,3909.4,-3692.6,4.096e+06,1,1.6959e+08,14963
300,3695.6,-3692.2,4.096e+06,1,1.6959e+08,20603
400,3692.7,-3692.4,4.096e+06,1,1.6959e+08,27801
500,3693.2,-3692.7,4.096e+06,1,1.6959e+08,35011
600,3693.6,-3693.1,4.096e+06,1,1.6959e+08,42234
700,3694,-3693.4,4.096e+06,1,1.6959e+08,52388
800,3694.2,-3693.7,4.096e+06,1,1.6959e+08,62566
900,3694.5,-3694,4.096e+06,1,1.6959e+08,72767
1000,3694.7,-3694.2,4.096e+06,1,1.6959e+08,95090
1100,3695.1,-3694.5,4.096e+06,1,1.6959e+08,1.1751e+05
1200,3695.1,-3694.7,4.096e+06,1,1.6959e+08,1.4002e+05
1300,3695.7,-3694.9,4.096e+06,1,1.6959e+08,1.4505e+05
1400,3695.6,-3695,4.096e+06,1,1.6959e+08,1.5001e+05
1500,3695.9,-3695.1,4.096e+06,1,1.6959e+08,1.5493e+05
1600,3695.6,-3695.2,4.096e+06,1,1.6959e+08,1.5915e+05
1700,3695.5,-3695.3,4.096e+06,1,1.6959e+08,1.6335e+05
1800,3695.5,-3695.3,4.096e+06,1,1.6959e+08,1.6754e+05
1900,3695.6,-3695.3,4.096e+06,1,1.6959e+08,1.7123e+05
2000,3695.6,-3695.4,4.096e+06,1,1.6959e+08,1.7491e+05
2100,3695.6,-3695.4,4.096e+06,1,1.6959e+08,1.7858e+05
2200,3695.7,-3695.5,4.096e+06,1,1.6959e+08,1.8189e+05
2300,3695.7,-3695.5,4.096e+06,1,1.6959e+08,1.8518e+05
2400,3696.5,-3695.5,4.096e+06,1,1.6959e+08,1.8847e+05
2500,3695.8,-3695.5,4.096e+06,1,1.6959e+08,1.9148e+05
2600,3695.7,-3695.6,4.096e+06,1,1.6959e+08,1.9448e+05
2700,3695.7,-3695.6,4.096e+06,1,1.6959e+08,1.9748e+05
2800,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.0024e+05
2900,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.0301e+05
3000,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.0577e+05
3100,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.0834e+05
3200,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.1091e+05
3300,3695.7,-3695.6,4.096e+06,1,1.6959e+08,2.1348e+05
3400,3695.7,-3695.5,4.096e+06,1,1.6959e+08,2.159e+05
3500,3695.6,-3695.5,4.096e+06,1,1.6959e+08,2.1831e+05
3600,3695.6,-3695.5,4.096e+06,1,1.6959e+08,2.2071e+05