Time,abs_diffWaterDepth,diffWaterDepth,Area,BottomElevation,WaterDepth
0,0,0,4.096e+06,1.6959e+08,0
100,4316.4,0.01605,4.096e+06,1.6959e+08,5634.5
200,4355.2,-4219.1,4.096e+06,1.6959e+08,15489
300,4248.7,-4218.4,4.096e+06,1.6959e+08,21129
400,4257.7,-4218.3,4.096e+06,1.6959e+08,28331
500,4257.3,-4218.5,4.096e+06,1.6959e+08,35552
600,4255.5,-4218.7,4.096e+06,1.6959e+08,42795
700,4260.4,-4222.7,4.096e+06,1.6959e+08,52983
800,4259.1,-4223,4.096e+06,1.6959e+08,63211
900,4258.4,-4223.4,4.096e+06,1.6959e+08,73482
1000,4264.9,-4223.8,4.096e+06,1.6959e+08,95903
1100,4261.6,-4224.3,4.096e+06,1.6959e+08,1.1846e+05
1200,4258.2,-4224.6,4.096e+06,1.6959e+08,1.4118e+05