,first-order,,TVD,
Benchmark,Runtime Reduction,Share of Scalar Computations,Runtime Reduction,Share of Scalar Computations
base configuration,10.1%,15.7%,12.1%,15.7%
block size 8x8,9.2%,16.4%,9.6%,16.5%
block size 32x32,8.3%,14.8%,10.8%,14.9%
block size 128x128,11.4%,15.9%,12.6%,15.9%
mesh size 1000x1000,10.6%,15.9%,12.2%,15.9%
mesh size 4000x4000,9.8%,14.8%,11.0%,15.0%
t_end=6.0s,10.8%,15.7%,12.2%,15.7%
l_x = l_y = 0.5m,4.8%,8.2%,4.8%,7.0%
l_x = l_y = 2.0m,16.6%,23.5%,18.5%,23.7%
Cr = 0.1,1.6%,4.2%,1.3%,3.1%
Cr = 0.5,16.4%,23.5%,18.6%,23.6%
d_downstream = 0.1m,31.5%,39.1%,33.7%,39.3%
d_downstream = 0.5m,19.1%,26.1%,23.5%,28.8%
d_downstream = 2.0m,4.3%,7.8%,2.9%,5.3%
dry dam break,8.5%,44.3%,6.4%,44.5%
no bed friction,10.3%,15.7%,11.9%,15.7%
,,,,
,,,,
,10.1,15.7,12.1,15.7
,9.2,16.4,9.6,16.5
,8.3,14.8,10.8,14.9
,11.4,15.9,12.6,15.9
,10.6,15.9,12.2,15.9
,9.8,14.8,11.0,15.0
,10.8,15.7,12.2,15.7
,4.8,8.2,4.8,7.0
,16.6,23.5,18.5,23.7
,1.6,4.2,1.3,3.1
,16.4,23.5,18.6,23.6
,31.5,39.1,33.7,39.3
,19.1,26.1,23.5,28.8
,4.3,7.8,2.9,5.3
,8.5,44.3,6.4,44.5
,10.3,15.7,11.9,15.7